TABLE A.3(d) Linear and Angular Kinematics—1/2 HAT,,,,,,,,,,,
STATE,FRAME,TIME,THETA,OMEGA,ALPHA,CofM-X,VEL-X,ACC-X,CofM-Y,VEL-Y,ACC-Y
,,S,DEG,R/S,R/S/S,M,M/S,M/S/S,M,M/S,M/S/S
TOR,1,0,85.1,0.89,−11.61,0.473,1.377,1.23,1.08,0.035,2.76
,2,0.014,85.7,0.71,−13.17,0.492,1.379,−0.70,1.081,0.084,3.89
,3,0.029,86.2,0.52,−11.89,0.512,1.357,−2.11,1.083,0.146,4.49
,4,0.043,86.6,0.37,−8.26,0.531,1.319,−2.87,1.085,0.212,4.46
,5,0.057,86.8,0.28,−3.23,0.55,1.275,−2.98,1.089,0.274,3.8
,6,0.072,87,0.27,1.64,0.568,1.234,−2.50,1.093,0.321,2.6
,7,0.086,87.3,0.33,4.85,0.585,1.203,−1.64,1.098,0.348,1.19
,8,0.1,87.6,0.41,6.05,0.602,1.187,−0.74,1.103,0.355,−0.18
,9,0.114,88,0.5,6.17,0.619,1.182,−0.15,1.108,0.343,−1.50
,10,0.129,88.4,0.59,6.19,0.636,1.183,0.06,1.113,0.312,−2.81
,11,0.143,88.9,0.68,6.1,0.653,1.184,0.06,1.117,0.262,−3.89
,12,0.157,89.5,0.76,5.21,0.67,1.184,0.06,1.12,0.201,−4.54
,13,0.172,90.2,0.83,3.01,0.687,1.186,0.21,1.123,0.133,−4.81
,14,0.186,90.9,0.85,−0.12,0.704,1.19,0.56,1.124,0.063,−4.87
,15,0.2,91.6,0.82,−3.16,0.721,1.201,1.15,1.124,−0.007,−4.83
,16,0.215,92.2,0.76,−5.47,0.738,1.223,1.93,1.124,−0.075,−4.72
,17,0.229,92.8,0.67,−6.91,0.756,1.257,2.71,1.122,−0.142,−4.48
,18,0.243,93.3,0.56,−7.30,0.774,1.3,3.24,1.12,−0.203,−3.98
,19,0.257,93.7,0.46,−6.57,0.793,1.349,3.38,1.116,−0.255,−3.07
,20,0.272,94.1,0.37,−4.89,0.813,1.397,3.11,1.112,−0.291,−1.63
,21,0.286,94.3,0.32,−2.38,0.833,1.438,2.48,1.108,−0.302,0.1
,22,0.3,94.6,0.31,0.85,0.854,1.468,1.66,1.104,−0.288,1.53
,23,0.315,94.8,0.34,3.98,0.875,1.486,0.95,1.1,−0.259,2.21
,24,0.329,95.1,0.42,5.39,0.896,1.495,0.64,1.096,−0.225,2.4
,25,0.343,95.5,0.5,3.95,0.918,1.504,0.91,1.093,−0.190,2.6
,26,0.357,96,0.53,0.2,0.939,1.521,1.52,1.091,−0.151,3.07
,27,0.372,96.4,0.5,−4.14,0.961,1.548,1.98,1.089,−0.102,3.79
HCR,28,0.386,96.8,0.41,−7.80,0.984,1.578,1.91,1.088,−0.042,4.62
,29,0.4,97.1,0.28,−10.40,1.006,1.602,1.32,1.088,0.03,5.28
,30,0.415,97.2,0.12,−11.97,1.029,1.616,0.5,1.089,0.109,5.48
,31,0.429,97.3,−0.06,−12.71,1.053,1.617,−0.32,1.091,0.186,4.93
,32,0.443,97.1,−0.25,−12.51,1.076,1.606,−1.04,1.094,0.25,3.5
,33,0.458,96.9,−0.42,−10.48,1.098,1.587,−1.63,1.098,0.287,1.45
,34,0.472,96.4,−0.55,−6.07,1.121,1.56,−1.99,1.102,0.291,−0.50
,35,0.486,96,−0.59,−0.55,1.143,1.53,−2.10,1.106,0.272,−1.54
,36,0.5,95.5,−0.56,3.64,1.165,1.5,−2.10,1.11,0.247,−1.63
,37,0.515,95,−0.49,4.75,1.186,1.47,−2.14,1.114,0.226,−1.49
,38,0.529,94.7,−0.43,2.67,1.207,1.439,−2.14,1.117,0.205,−1.69
