,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d
,TIME,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos
,FRAME_NUMBERS,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC
,ORIGINAL,LAR,LAR,LAR,LAR,LAR,LAR,LFA,LFA,LFA,LSK,LSK,LSK,LTH,LTH,LTH,LTH,LTH,LTH,RAR,RAR,RAR,RAR,RAR,RAR,RFA,RFA,RFA,RSK,RSK,RSK,RTH,RTH,RTH,RTH,RTH,RTH
,,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip
ITEM,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.7,2.758252,-0.077807,1.090026,2.754228,0.002118,1.45299,2.56221,-0.061466,0.905864,3.107506,0.158615,0.10647,2.897916,0.118435,0.509207,2.767619,0.108943,0.922587,2.909831,0.412118,1.098039,2.768415,0.365658,1.438029,2.8423,0.457853,0.848028,2.462862,0.230539,0.098066,2.627217,0.265439,0.498796,2.749521,0.272099,0.92553
2,0.708333,2.749688,-0.075843,1.089359,2.744374,0.003285,1.452481,2.553857,-0.060499,0.904774,3.107049,0.158454,0.110232,2.888563,0.11876,0.508656,2.756659,0.108882,0.921517,2.898672,0.412532,1.096437,2.757897,0.366874,1.436802,2.830446,0.457776,0.846532,2.458495,0.22811,0.094768,2.614814,0.263892,0.499036,2.737935,0.272365,0.925503
3,0.716667,2.741249,-0.073932,1.088874,2.734481,0.004495,1.452123,2.545768,-0.059591,0.903703,3.106284,0.158269,0.114364,2.878817,0.119053,0.508134,2.745443,0.108805,0.920513,2.887342,0.413021,1.09492,2.747285,0.368142,1.435684,2.81836,0.457742,0.845131,2.454494,0.225849,0.091653,2.602591,0.262499,0.499357,2.725986,0.27251,0.925711
4,0.725,2.732934,-0.072077,1.088585,2.724554,0.005739,1.451932,2.537943,-0.058751,0.902666,3.104944,0.1579,0.118736,2.86858,0.119249,0.507596,2.734066,0.108784,0.919599,2.875842,0.413579,1.093494,2.736591,0.369458,1.434687,2.806051,0.45775,0.843835,2.450664,0.223814,0.088851,2.590617,0.261305,0.499759,2.713717,0.27254,0.926168
5,0.733333,2.724741,-0.070278,1.088512,2.714591,0.007005,1.451928,2.530387,-0.057983,0.901684,3.102778,0.157222,0.123219,2.857766,0.119299,0.507007,2.72259,0.108885,0.918795,2.864174,0.4142,1.092176,2.725822,0.370813,1.433829,2.793527,0.457797,0.842663,2.446911,0.222043,0.086431,2.578906,0.260342,0.500258,2.701201,0.272464,0.926875
