TABLE A.2(c) Filtered Marker Kinematics—Lateral Malleolus (Ankle) and Heel,,,,,,,,,,,,,,,
,,,RIGHT ANKLE,,,,,,,RIGHT HEEL,,,,,
,frame,time,x,vx,ax,y,vy,ay,,x,vx,ax,y,vy,ay
,,s,m,m/s,m/s/s,m,m/s,m/s/s,,m,m/s,m/s/s,m,m/s,m/s/s
TOR,1,0,0.0939,2.24,19.1,0.2143,0.8,-6.3,,0.03,2.39,17.2,0.236,1.32,-15.9
,2,0.014,0.1279,2.5,16.4,0.2251,0.68,-10,,0.0659,2.59,12,0.2531,1.03,-22.6
,3,0.029,0.1653,2.71,13.5,0.2337,0.51,-13.2,,0.1042,2.73,8,0.2655,0.67,-26.3
,4,0.043,0.2054,2.88,10.8,0.2396,0.3,-15.2,,0.144,2.82,5.7,0.2723,0.28,-27.2
,5,0.057,0.2477,3.02,8.7,0.2423,0.07,-16,,0.1849,2.89,4.8,0.2734,-0.11,-26.1
,6,0.072,0.2917,3.13,7.4,0.2417,-0.16,-15.5,,0.2267,2.96,5.4,0.2692,-0.47,-23.7
,7,0.086,0.3372,3.23,6.7,0.2379,-0.37,-14.1,,0.2696,3.05,7,0.26,-0.79,-20.4
,8,0.1,0.3841,3.32,6.4,0.2311,-0.56,-12.1,,0.3138,3.16,9,0.2466,-1.05,-16.4
,9,0.114,0.4322,3.41,6.5,0.2219,-0.72,-9.7,,0.3599,3.3,10.5,0.2299,-1.26,-11.9
,10,0.129,0.4817,3.51,6.7,0.2106,-0.84,-7.1,,0.4083,3.46,11.3,0.2107,-1.39,-7.3
,11,0.143,0.5326,3.6,6.8,0.1979,-0.92,-4,,0.459,3.63,11.2,0.19,-1.47,-3
,12,0.157,0.5848,3.7,6.4,0.1844,-0.95,-0.5,,0.512,3.78,10.5,0.1687,-1.48,1
,13,0.172,0.6384,3.79,5.4,0.1707,-0.93,3,,0.5671,3.93,9.3,0.1477,-1.44,4.5
,14,0.186,0.6931,3.85,3.7,0.1577,-0.86,6.2,,0.6242,4.05,7.5,0.1276,-1.35,7.3
,15,0.2,0.7486,3.89,1.3,0.146,-0.76,8.6,,0.6829,4.14,5.2,0.109,-1.23,9.7
,16,0.215,0.8045,3.89,-1.6,0.136,-0.62,10.1,,0.7427,4.2,2.1,0.0925,-1.07,11.6
,17,0.229,0.86,3.85,-5.1,0.1282,-0.47,10.7,,0.8029,4.2,-1.7,0.0783,-0.9,12.9
,18,0.243,0.9145,3.75,-8.8,0.1226,-0.31,10.3,,0.8628,4.15,-6.2,0.0668,-0.7,13.3
,19,0.257,0.9672,3.6,-12.5,0.1192,-0.17,8.9,,0.9215,4.02,-11.4,0.0582,-0.51,12.6
,20,0.272,1.0173,3.39,-16.2,0.1177,-0.06,6.7,,0.9779,3.82,-17.1,0.0521,-0.34,10.8
,21,0.286,1.0641,3.13,-20,0.1175,0.02,3.9,,1.0309,3.53,-23.2,0.0483,-0.21,8.1
,22,0.3,1.1068,2.82,-23.6,0.1182,0.05,0.7,,1.079,3.16,-28.9,0.0462,-0.11,4.6
,23,0.315,1.1447,2.46,-26.3,0.119,0.04,-2.5,,1.1212,2.71,-33.1,0.0451,-0.07,1.1
,24,0.329,1.1771,2.07,-27.4,0.1193,-0.02,-5.1,,1.1565,2.21,-35.2,0.0441,-0.08,-1.1
,25,0.343,1.2038,1.67,-26.3,0.1185,-0.11,-6.5,,1.1844,1.7,-34.7,0.0428,-0.11,-1.2
,26,0.357,1.2249,1.31,-23.1,0.1162,-0.21,-6.1,,1.2051,1.22,-31.6,0.0411,-0.12,0.4
,27,0.372,1.2413,1.01,-18.3,0.1126,-0.28,-3.7,,1.2192,0.8,-26.1,0.0395,-0.09,2.4
HCR,28,0.386,1.2539,0.79,-13.3,0.1081,-0.31,-0.2,,1.228,0.47,-19.3,0.0384,-0.05,3.5
,29,0.4,1.2639,0.63,-9.2,0.1037,-0.29,3,,1.2327,0.25,-12.5,0.0381,0.01,3.3
,30,0.415,1.272,0.53,-6.7,0.0999,-0.23,4.6,,1.235,0.11,-6.8,0.0385,0.05,2.1
,31,0.429,1.2789,0.44,-5.5,0.0972,-0.16,4.7,,1.236,0.05,-2.7,0.0394,0.07,0.9
,32,0.443,1.2846,0.37,-5.1,0.0955,-0.09,3.7,,1.2365,0.04,-0.4,0.0404,0.07,0.1
,33,0.458,1.2894,0.3,-4.8,0.0945,-0.05,2.3,,1.237,0.04,0.5,0.0414,0.07,-0.3
,34,0.472,1.2931,0.23,-4.3,0.094,-0.03,1.2,,1.2377,0.05,0.8,0.0424,0.06,-0.4
,35,0.486,1.296,0.18,-3.3,0.0937,-0.02,0.6,,1.2384,0.06,0.9,0.0432,0.06,-0.3
,36,0.5,1.2982,0.14,-2.4,0.0935,-0.01,0.5,,1.2394,0.08,0.9,0.044,0.05,-0.5
,37,0.515,1.2999,0.11,-1.9,0.0934,0,0.5,,1.2406,0.09,0.2,0.0448,0.05,-0.8
,38,0.529,1.3012,0.08,-2.1,0.0935,0.01,0.4,,1.2419,0.08,-1.1,0.0453,0.03,-1
,39,0.543,1.3022,0.05,-2.2,0.0936,0.01,0.3,,1.2429,0.06,-2.2,0.0457,0.02,-0.9
,40,0.558,1.3026,0.02,-2,0.0938,0.01,0.5,,1.2435,0.02,-2.5,0.0458,0,-0.6
,41,0.572,1.3026,-0.01,-1.3,0.094,0.02,1,,1.2435,-0.01,-1.8,0.0458,0,0
,42,0.586,1.3023,-0.02,-0.5,0.0945,0.04,1.3,,1.2431,-0.03,-0.7,0.0458,0,0.6
