TABLE A.3(a) Linear and Angular Kinematics—Foot,,,,,,,,,,,
STATE,FRAME,TIME,THETA,OMEGA,ALPHA,CofM-X,VEL-X,ACC-X,CofM-Y,VEL-Y,ACC-Y
,,S,DEG,R/S,R/S/S,M,M/S,M/S/S,M,M/S,M/S/S
TOR,1,0,85.6,−5.01,118.27,0.089,1.937,26.39,0.153,0.814,−4.92
,2,0.014,82.2,−3.11,138.72,0.12,2.31,24.92,0.165,0.707,−9.81
,3,0.029,80.5,−1.04,142.01,0.155,2.65,22.11,0.174,0.533,−13.77
,4,0.043,80.5,0.96,132.71,0.195,2.942,18.72,0.18,0.313,−16.13
,5,0.057,82.1,2.75,115.36,0.239,3.185,15.54,0.183,0.072,−16.70
,6,0.072,85,4.25,93.06,0.287,3.386,12.91,0.182,−0.164,−15.72
,7,0.086,89.1,5.41,68.58,0.336,3.555,10.83,0.178,−0.378,−13.58
,8,0.1,93.9,6.22,44.92,0.388,3.696,9.2,0.171,−0.553,−10.64
,9,0.114,99.2,6.7,25.05,0.442,3.818,7.94,0.162,−0.682,−7.27
,10,0.129,104.9,6.93,10.88,0.497,3.923,6.9,0.152,−0.761,−3.80
,11,0.143,110.6,7.01,2.33,0.554,4.015,5.88,0.14,−0.791,−0.37
,12,0.157,116.3,7,−2.26,0.612,4.092,4.69,0.129,−0.771,2.99
,13,0.172,122.1,6.94,−4.67,0.671,4.149,3.15,0.118,−0.705,6.11
,14,0.186,127.7,6.87,−5.67,0.731,4.182,1.18,0.109,−0.597,8.65
,15,0.2,133.3,6.78,−5.01,0.791,4.183,−1.12,0.101,−0.457,10.42
,16,0.215,138.8,6.72,−3.24,0.851,4.15,−3.73,0.096,−0.299,11.39
,17,0.229,144.3,6.69,−3.16,0.909,4.076,−6.80,0.093,−0.132,11.57
,18,0.243,149.8,6.63,−8.11,0.967,3.955,−10.45,0.092,0.032,10.78
,19,0.257,155.2,6.46,−19.17,1.023,3.778,−14.54,0.094,0.177,8.8
,20,0.272,160.4,6.08,−34.96,1.075,3.539,−18.79,0.097,0.284,5.61
,21,0.286,165.2,5.46,−53.64,1.124,3.24,−22.83,0.102,0.337,1.47
,22,0.3,169.3,4.55,−73.48,1.168,2.886,−26.24,0.107,0.326,−3.24
,23,0.315,172.6,3.36,−91.19,1.206,2.49,−28.53,0.111,0.245,−7.83
,24,0.329,174.8,1.94,−102.29,1.239,2.07,−29.23,0.114,0.102,−11.35
,25,0.343,175.8,0.43,−104.08,1.266,1.654,−27.90,0.114,−0.080,−12.86
,26,0.357,175.5,−1.03,−97.50,1.286,1.272,−24.51,0.111,−0.266,−11.90
,27,0.372,174.1,−2.36,−85.55,1.302,0.953,−19.64,0.106,−0.420,−8.61
HCR,28,0.386,171.7,−3.48,−68.80,1.314,0.71,−14.43,0.099,−0.512,−3.92
,29,0.4,168.4,−4.32,−43.96,1.322,0.54,−10.02,0.092,−0.532,0.78
,30,0.415,164.6,−4.74,−10.50,1.329,0.424,−7.03,0.084,−0.490,4.32
,31,0.429,160.6,−4.63,24.51,1.334,0.339,−5.31,0.078,−0.409,6.26
,32,0.443,157,−4.04,52.05,1.339,0.272,−4.39,0.073,−0.311,6.77
,33,0.458,154,−3.14,67.24,1.342,0.214,−3.77,0.069,−0.215,6.26
,34,0.472,151.9,−2.11,68.18,1.345,0.164,−3.06,0.066,−0.132,5.12
,35,0.486,150.6,−1.19,55.74,1.347,0.126,−2.15,0.065,−0.069,3.71
,36,0.5,149.9,−0.52,35.86,1.348,0.103,−1.38,0.064,−0.026,2.36
,37,0.515,149.7,−0.16,17.08,1.35,0.087,−1.21,0.064,−0.001,1.25
,38,0.529,149.7,−0.03,4.56,1.351,0.068,−1.64,0.064,0.01,0.46
,39,0.543,149.7,−0.03,−1.79,1.352,0.04,−2.06,0.065,0.012,0.1
,40,0.558,149.6,−0.08,−4.87,1.352,0.009,−1.91,0.065,0.013,0.16
,41,0.572,149.5,−0.17,−7.39,1.352,−0.015,−1.21,0.065,0.017,0.43
,42,0.586,149.3,−0.29,−10.28,1.352,−0.026,−0.40,0.065,0.025,0.54
,43,0.601,149,−0.46,−12.53,1.351,−0.026,0.26,0.066,0.033,0.31
,44,0.615,148.6,−0.65,−12.14,1.351,−0.018,0.76,0.066,0.034,−0.11
,45,0.629,148,−0.81,−8.07,1.351,−0.004,1.07,0.067,0.029,−0.47
,46,0.643,147.2,−0.88,−1.88,1.351,0.012,1.1,0.067,0.021,−0.60
,47,0.658,146.5,−0.86,3.55,1.351,0.027,0.96,0.067,0.012,−0.45
