TABLE A.3(c) Linear and Angular Kinematics—Thigh,,,,,,,,,,,
STATE,FRAME,TIME,THETA,OMEGA,ALPHA,CofM-X,VEL-X,ACC-X,CofM-Y,VEL-Y,ACC-Y
,,S,DEG,R/S,R/S/S,M,M/S,M/S/S,M,M/S,M/S/S
TOR,1,0,82.7,3.29,24.42,0.43,2.081,1.36,0.652,−0.052,4.4
,2,0.014,85.5,3.59,18.34,0.46,2.073,−1.89,0.652,0.026,6.06
,3,0.029,88.6,3.81,12.48,0.489,2.027,−3.83,0.653,0.122,6.86
,4,0.043,91.8,3.95,5.97,0.518,1.963,−4.53,0.655,0.222,6.72
,5,0.057,95.1,3.98,−1.93,0.546,1.898,−4.32,0.659,0.314,5.74
,6,0.072,98.3,3.89,−10.64,0.572,1.84,−3.64,0.664,0.386,4.11
,7,0.086,101.4,3.68,−18.57,0.598,1.793,−2.92,0.67,0.432,2.2
,8,0.1,104.3,3.36,−24.25,0.624,1.756,−2.45,0.677,0.449,0.42
,9,0.114,106.9,2.99,−27.38,0.648,1.724,−2.28,0.683,0.444,−1.15
,10,0.129,109.2,2.58,−28.82,0.673,1.691,−2.31,0.689,0.417,−2.60
,11,0.143,111.2,2.16,−29.42,0.697,1.658,−2.41,0.695,0.369,−3.94
,12,0.157,112.8,1.74,−29.22,0.72,1.622,−2.53,0.7,0.304,−4.97
,13,0.172,114,1.33,−27.99,0.743,1.585,−2.69,0.704,0.227,−5.63
,14,0.186,114.9,0.94,−26.18,0.766,1.545,−2.83,0.706,0.143,−6.02
,15,0.2,115.6,0.58,−24.68,0.787,1.504,−2.79,0.708,0.055,−6.22
,16,0.215,115.9,0.23,−23.85,0.809,1.466,−2.51,0.708,−0.035,−6.23
,17,0.229,115.9,−0.11,−23.01,0.829,1.433,−2.04,0.707,−0.123,−5.97
,18,0.243,115.7,−0.43,−20.96,0.85,1.407,−1.40,0.704,−0.206,−5.34
,19,0.257,115.2,−0.70,−16.94,0.87,1.393,−0.55,0.701,−0.276,−4.22
,20,0.272,114.6,−0.91,−11.04,0.889,1.392,0.42,0.696,−0.326,−2.51
,21,0.286,113.7,−1.02,−4.04,0.909,1.405,1.38,0.692,−0.348,−0.34
,22,0.3,112.9,−1.03,2.83,0.93,1.431,2.28,0.687,−0.336,1.68
,23,0.315,112.1,−0.94,8.12,0.95,1.47,3.03,0.682,−0.300,2.98
,24,0.329,111.3,−0.79,10.77,0.972,1.518,3.42,0.678,−0.251,3.5
,25,0.343,110.8,−0.63,10.49,0.994,1.568,3.26,0.675,−0.200,3.62
,26,0.357,110.3,−0.49,7.65,1.016,1.611,2.48,0.672,−0.148,3.69
,27,0.372,110,−0.41,3.48,1.04,1.639,1.2,0.671,−0.094,3.92
HCR,28,0.386,109.6,−0.39,0.13,1.063,1.645,−0.31,0.67,−0.036,4.29
,29,0.4,109.3,−0.41,−0.49,1.087,1.63,−1.67,0.669,0.029,4.62
,30,0.415,109,−0.41,1.69,1.11,1.597,−2.61,0.67,0.096,4.64
,31,0.429,108.6,−0.36,4.27,1.133,1.555,−3.28,0.672,0.161,4.04
,32,0.443,108.4,−0.29,3.58,1.154,1.503,−4.05,0.675,0.212,2.63
,33,0.458,108.2,−0.26,−2.78,1.175,1.439,−4.94,0.678,0.236,0.62
,34,0.472,107.9,−0.37,−13.38,1.196,1.362,−5.49,0.682,0.23,−1.26
,35,0.486,107.6,−0.64,−23.43,1.214,1.282,−5.38,0.685,0.2,−2.26
,36,0.5,106.9,−1.04,−28.36,1.232,1.208,−4.85,0.687,0.165,−2.32
,37,0.515,105.9,−1.45,−26.92,1.249,1.143,−4.43,0.69,0.134,−2.00
,38,0.529,104.5,−1.81,−20.92,1.265,1.082,−4.34,0.691,0.108,−1.77
,39,0.543,102.9,−2.05,−12.96,1.28,1.019,−4.36,0.693,0.083,−1.52
,40,0.558,101.2,−2.18,−4.84,1.294,0.957,−4.13,0.694,0.064,−1.01
,41,0.572,99.3,−2.19,2.16,1.307,0.901,−3.50,0.695,0.054,−0.44
,42,0.586,97.6,−2.11,6.84,1.32,0.857,−2.56,0.695,0.052,−0.31
,43,0.601,95.9,−1.99,8.52,1.332,0.828,−1.53,0.696,0.045,−0.97
,44,0.615,94.3,−1.87,7.81,1.344,0.813,−0.65,0.697,0.024,−2.12
,45,0.629,92.8,−1.77,6.1,1.355,0.809,−0.07,0.697,−0.015,−2.99
,46,0.643,91.4,−1.70,4.22,1.367,0.811,0.26,0.696,−0.062,−3.02
,47,0.658,90,−1.65,2.22,1.378,0.817,0.61,0.695,−0.102,−2.35
,48,0.672,88.7,−1.63,0.01,1.39,0.828,1.15,0.693,−0.129,−1.46
,49,0.686,87.4,−1.65,−2.10,1.402,0.85,1.7,0.691,−0.143,−0.63
,50,0.701,86,−1.69,−3.38,1.414,0.877,1.85,0.689,−0.147,0.01
,51,0.715,84.6,−1.75,−3.24,1.427,0.902,1.51,0.687,−0.143,0.45
