"TABLE A.7 Power Generation/Absorption and Transfer—Ankle, Knee, and Hip",,,,,,,,,,,,,,,
STATE,Frame,Time,"Muscle Power
Gen(+)/ABS(−)",,,Rate of Transfer Across Joints and Muscle,,,,,,Segment Angular Velocity,,,
,,,,,,,,,,,,,,,
,,,,,,Leg to Foot,,Thigh to Leg,,Pelvis to Thigh,,,,,
,,,Ankle,Knee,Hip,Joint,Muscle,Joint,Muscle,Joint,Muscle,Foot,Leg,Thigh,Hat
,,S,W,W,W,W,W,W,W,W,W,R/S,R/S,R/S,R/S
,2,0.014,−2.8,−37.3,51.4,49.4,−2.7,110.5,0,56.1,12.6,−3.46,−1.70,3.59,0.71
,3,0.029,−0.4,−32.0,45.6,46,−1.2,85.6,0,29.6,7.2,−1.06,−0.80,3.81,0.52
,4,0.043,1.3,−24.4,38.7,41.3,0.3,62.9,1.4,17.6,4,1.18,0.21,3.95,0.37
,5,0.057,2.1,−15.9,31.6,36.8,1.4,44.7,7.2,14.8,2.4,3.14,1.24,3.98,0.28
,6,0.072,2.3,−8.0,24.3,32.8,2,31.6,10.6,15.2,1.8,4.74,2.21,3.89,0.27
,7,0.086,2,−2.1,16.8,28.9,2.2,22.6,11,14.6,1.6,5.91,3.08,3.68,0.33
,8,0.1,1.6,1,10,24.6,2.1,17.4,7.6,12.2,1.4,6.66,3.81,3.36,0.41
,9,0.114,1.2,1.4,5.1,20.1,2.1,14.9,3,8.2,1,7.03,4.41,2.99,0.5
,10,0.129,1,−0.2,1.9,15.2,2.1,13.7,−0.2,2.6,0.6,7.16,4.9,2.58,0.59
,11,0.143,0.8,−3.3,0,10,2.3,12.5,−2.3,−3.8,0,7.17,5.28,2.16,0.68
,12,0.157,0.7,−7.3,−0.8,4.1,2.7,10.3,−3.3,−10.6,−0.6,7.13,5.56,1.74,0.76
,13,0.172,0.7,−12.1,−0.8,−2.3,3.1,6.1,−3.6,−18.4,−1.3,7.08,5.75,1.33,0.83
,14,0.186,0.7,−17.3,−0.2,−9.1,3.4,−0.8,−3.3,−27.4,−2.1,7.06,5.86,0.94,0.85
,15,0.2,0.7,−22.4,0.9,−15.6,3.7,−10.0,−2.4,−36.6,−2.1,7.06,5.91,0.58,0.82
,16,0.215,0.7,−27.9,2.6,−22.0,3.8,−20.9,−1.1,−45.3,−1.2,7.06,5.91,0.23,0.76
,17,0.229,0.7,−34.4,5.2,−28.7,3.7,−32.6,0,−54.1,0,7.02,5.85,−0.11,0.67
,18,0.243,0.7,−42.0,8.5,−36.2,3.3,−43.6,0,−62.3,0,6.9,5.73,−0.43,0.56
,19,0.257,0.5,−49.9,12.2,−44.1,2.6,−52.6,0,−68.6,0,6.66,5.51,−0.70,0.46
