TABLE A.5(a) Reaction Forces and Moments of Force—Ankle and Knee,,,,,,,,,,,,,,
STATE,FRAME,TIME,FOOT SEGMENT,,,,,,LEG SEGMENT,,,,,
,,,GROUND,,ANKLE,,GROUND,ANKLE,ANKLE,,KNEE,,ANKLE,KNEE
,,,RX,RY,RX,RY,Cof P X,MOMENT,RX,RY,RX,RY,MOMENT,MOMENT
,,S,N,N,N,N,M,N.M,N,N,N,N,N.M,N.M
TOR,1,0,0,0,20.9,3.9,0,1.6,−20.9,−3.9,52,31.6,−1.6,7
,2,0.014,0,0,19.8,0,0,1.6,−19.8,0,41.1,27.1,−1.6,7
,3,0.029,0,0,17.6,−3.1,0,1.5,−17.6,3.1,30.8,22.2,−1.5,6.9
,4,0.043,0,0,14.9,−5.0,0,1.3,−14.9,5,22,17.8,−1.3,6.5
,5,0.057,0,0,12.3,−5.5,0,1.1,−12.3,5.5,15.1,14.6,−1.1,5.8
,6,0.072,0,0,10.3,−4.7,0,0.9,−10.3,4.7,10.1,12.7,−0.9,4.8
,7,0.086,0,0,8.6,−3.0,0,0.7,−8.6,3,6.5,12.2,−0.7,3.6
,8,0.1,0,0,7.3,−0.7,0,0.6,−7.3,0.7,4.1,13.4,−0.6,2.3
,9,0.114,0,0,6.3,2,0,0.5,−6.3,−2.0,2.5,15.9,−0.5,1
,10,0.129,0,0,5.5,4.8,0,0.4,−5.5,−4.8,1.4,19.1,−0.4,−0.1
,11,0.143,0,0,4.7,7.5,0,0.4,−4.7,−7.5,0.4,22.8,−0.4,−1.0
,12,0.157,0,0,3.7,10.2,0,0.5,−3.7,−10.2,−0.9,27.1,−0.5,−1.9
,13,0.172,0,0,2.5,12.6,0,0.5,−2.5,−12.6,−2.8,31.8,−0.5,−2.7
,14,0.186,0,0,0.9,14.7,0,0.6,−0.9,−14.7,−5.7,36.2,−0.6,−3.5
,15,0.2,0,0,−0.9,16.1,0,0.6,0.9,−16.1,−9.5,39.6,−0.6,−4.2
,16,0.215,0,0,−3.0,16.8,0,0.6,3,−16.8,−14.2,42,−0.6,−4.9
,17,0.229,0,0,−5.4,17,0,0.6,5.4,−17.0,−19.7,43.4,−0.6,−5.8
,18,0.243,0,0,−8.3,16.3,0,0.6,8.3,−16.3,−25.5,43.7,−0.6,−6.8
,19,0.257,0,0,−11.5,14.8,0,0.5,11.5,−14.8,−30.7,42.7,−0.5,−8.0
,20,0.272,0,0,−14.9,12.2,0,0.3,14.9,−12.2,−35.5,40.7,−0.3,−9.4
,21,0.286,0,0,−18.1,9,0,0.1,18.1,−9.0,−39.9,38.2,−0.1,−11.1
,22,0.3,0,0,−20.8,5.2,0,−0.1,20.8,−5.2,−43.9,34.9,0.1,−12.8
,23,0.315,0,0,−22.7,1.6,0,−0.3,22.7,−1.6,−46.6,30.6,0.3,−14.3
,24,0.329,0,0,−23.2,−1.2,0,−0.5,23.2,1.2,−47.3,26.1,0.5,−15.1
,25,0.343,0,0,−22.2,−2.4,0,−0.5,22.2,2.4,−45.3,23.3,0.5,−14.6
,26,0.357,0,0,−19.5,−1.7,0,−0.5,19.5,1.7,−40.6,24.1,0.5,−12.7
,27,0.372,0,0,−15.6,1,0,−0.3,15.6,−1.0,−34.1,29.1,0.3,−9.5
HCR,28,0.386,37.3,87.1,−48.7,−82.4,1.227,−1.7,48.7,82.4,−64.3,−50.2,1.7,−33.8
,29,0.4,−4.2,192.6,−3.8,−184.1,1.244,4.6,3.8,184.1,−16.8,−148.2,−4.6,−19.9
,30,0.415,−43.7,304.1,38.2,−292.9,1.261,8.3,−38.2,292.9,27.2,−255.2,−8.3,−7.6
,31,0.429,−74.0,404.2,69.8,−391.4,1.291,2.8,−69.8,391.4,59.9,−354.6,−2.8,−4.5
,32,0.443,−91.9,476.6,88.4,−463.4,1.29,6.9,−88.4,463.4,77.7,−429.9,−6.9,7.8
,33,0.458,−102.7,521.7,99.7,−508.9,1.301,4.6,−99.7,508.9,86.3,−480.2,−4.6,14.5
,34,0.472,−110.5,552.9,108.1,−541.1,1.304,5,−108.1,541.1,91.5,−516.7,−5.0,24.8
,35,0.486,−114.2,579.8,112.5,−569.0,1.311,2.6,−112.5,569,94.3,−547.2,−2.6,31.6
,36,0.5,−110.5,599.6,109.4,−589.9,1.317,−0.5,−109.4,589.9,91.7,−568.4,0.5,35
,37,0.515,−98.1,604.5,97.1,−595.7,1.316,0.2,−97.1,595.7,80.9,−573.4,−0.2,37.8
,38,0.529,−79.8,589.9,78.5,−581.7,1.321,−3.5,−78.5,581.7,63.7,−558.2,3.5,32.5
,39,0.543,−62.0,558.1,60.3,−550.2,1.322,−5.1,−60.3,550.2,47.2,−525.1,5.1,28.1
,40,0.558,−48.7,516.7,47.2,−508.7,1.325,−6.6,−47.2,508.7,36.8,−481.5,6.6,24.8
,41,0.572,−39.8,473.4,38.8,−465.3,1.333,−10.5,−38.8,465.3,32.2,−436.1,10.5,20.2
,42,0.586,−33.0,433.4,32.7,−425.2,1.335,−10.6,−32.7,425.2,29.8,−395.6,10.6,19.8
,43,0.601,−27.0,400.3,27.2,−392.2,1.345,−14.1,−27.2,392.2,27.4,−364.4,14.1,15.8
,44,0.615,−21.8,377.1,22.4,−369.4,1.358,−18.7,−22.4,369.4,24.6,−344.7,18.7,10.9
,45,0.629,−18.1,365,19,−357.6,1.369,−22.5,−19.0,357.6,22.3,−335.4,22.5,7.8
,46,0.643,−16.6,362.3,17.4,−355.0,1.377,−25.3,−17.4,355,21,−333.8,25.3,6.6
,47,0.658,−16.8,366.5,17.6,−359.1,1.384,−27.9,−17.6,359.1,21,−337.2,27.9,6.6
,48,0.672,−16.8,375,17.5,−367.3,1.39,−30.3,−17.5,367.3,20.7,−343.7,30.3,7
,49,0.686,−14.5,386.1,15.2,−378.2,1.396,−33.5,−15.2,378.2,18.3,−352.3,33.5,5.9
,50,0.701,−9.6,400.3,10.3,−392.4,1.406,−38.8,−10.3,392.4,13,−364.3,38.8,2.3
,51,0.715,−3.8,418.8,4.2,−410.8,1.417,−45.1,−4.2,410.8,6,−381.2,45.1,−2.3
,52,0.729,2.2,441,−2.1,−432.7,1.412,−45.4,2.1,432.7,−0.9,−402.2,45.4,−0.1
,53,0.744,8.7,465.8,−9.0,−457.0,1.424,−53.5,9,457,−6.8,−426.3,53.5,−5.0
,54,0.758,16.5,493.7,−16.8,−484.4,1.428,−58.8,16.8,484.4,−12.3,−453.7,58.8,−6.2
,55,0.772,26.8,523.9,−27.1,−514.2,1.432,−64.8,27.1,514.2,−19.7,−483.6,64.8,−7.9
,56,0.786,40.1,552.6,−40.4,−542.9,1.436,−71.2,40.4,542.9,−30.9,−513.0,71.2,−10.4
,57,0.801,54.8,576.8,−55.0,−567.5,1.44,−77.3,55,567.5,−43.5,−538.7,77.3,−12.5
,58,0.815,68.1,595.8,−67.6,−586.9,1.444,−82.7,67.6,586.9,−53.3,−559.3,82.7,−12.4
,59,0.829,79.6,608.6,−77.9,−599.7,1.447,−87.0,77.9,599.7,−59.1,−573.0,87,−10.0
,60,0.844,90.8,612.1,−87.4,−602.8,1.451,−89.7,87.4,602.8,−63.1,−576.4,89.7,−6.4
,61,0.858,101.5,602.3,−96.4,−592.2,1.455,−89.8,96.4,592.2,−66.5,−566.1,89.8,−2.2
,62,0.872,110.4,576.1,−103.8,−565.0,1.459,−86.7,103.8,565,−68.9,−538.7,86.7,2.3
,63,0.887,115.6,530.3,−107.7,−518.2,1.463,−79.7,107.7,518.2,−69.7,−491.1,79.7,6.5
,64,0.901,114.5,463,−105.7,−450.2,1.467,−68.6,105.7,450.2,−67.5,−421.9,68.6,10.1
,65,0.915,105.2,377.3,−95.5,−364.4,1.47,−54.3,95.5,364.4,−60.1,−335.2,54.3,12.5
,66,0.929,88.2,282.1,−77.2,−269.9,1.474,−38.8,77.2,269.9,−46.1,−240.4,38.8,13.3
,67,0.944,65.7,190.1,−53.0,−179.1,1.478,−24.2,53,179.1,−26.4,−149.3,24.2,12.5
,68,0.958,41.4,110.8,−26.7,−101.8,1.482,−12.3,26.7,101.8,−4.1,−71.2,12.3,10.6
,69,0.972,18.4,44.4,−2.1,−37.9,1.486,−3.6,2.1,37.9,16.9,−6.8,3.6,6.8
TOR,70,0.987,0,0,17.1,3.5,0,1.4,−17.1,−3.5,32.9,34.3,−1.4,3.6
,71,1.001,0,0,16.8,0.3,0,1.4,−16.8,−0.3,30.4,29.2,−1.4,4.6
,72,1.015,0,0,15.8,−2.5,0,1.4,−15.8,2.5,28,23,−1.4,5.7
,73,1.03,0,0,14.3,−4.4,0,1.3,−14.3,4.4,25.4,17.2,−1.3,6.4
,74,1.044,0,0,12.6,−4.9,0,1.1,−12.6,4.9,22.1,13.4,−1.1,6.3
,75,1.058,0,0,11.1,−3.9,0,0.9,−11.1,3.9,18.1,12.2,−0.9,5.5
,76,1.072,0,0,9.7,−2.0,0,0.7,−9.7,2,14,12.8,−0.7,4.3
,77,1.087,0,0,8.5,0.2,0,0.6,−8.5,−0.2,10,14.1,−0.6,3
,78,1.101,0,0,7.4,2.2,0,0.5,−7.4,−2.2,6.6,15.6,−0.5,1.8
,79,1.115,0,0,6.3,4.3,0,0.5,−6.3,−4.3,3.7,17.8,−0.5,0.6
,80,1.13,0,0,5.3,6.7,0,0.5,−5.3,−6.7,1.6,21.5,−0.5,−0.5
,81,1.144,0,0,4.3,9.2,0,0.5,−4.3,−9.2,−0.2,25.9,−0.5,−1.5
,82,1.158,0,0,3.4,11.7,0,0.6,−3.4,−11.7,−1.7,30.7,−0.6,−2.2
,83,1.173,0,0,2.4,14.1,0,0.6,−2.4,−14.1,−3.5,35.5,−0.6,−2.7
,84,1.187,0,0,1.1,16.3,0,0.7,−1.1,−16.3,−6.0,39.8,−0.7,−3.1
,85,1.201,0,0,−0.9,17.8,0,0.8,0.9,−17.8,−9.8,43,−0.8,−3.6
,86,1.215,0,0,−3.5,18.5,0,0.8,3.5,−18.5,−15.1,44.7,−0.8,−4.3
,87,1.23,0,0,−6.8,18,0,0.7,6.8,−18.0,−21.7,45.3,−0.7,−5.6
,88,1.244,0,0,−10.8,16.4,0,0.6,10.8,−16.4,−29.4,45,−0.6,−7.4
,89,1.258,0,0,−15.3,13.6,0,0.4,15.3,−13.6,−37.5,43.5,−0.4,−9.7
,90,1.273,0,0,−19.6,9.7,0,0.1,19.6,−9.7,−44.8,40.3,−0.1,−12.3
,91,1.287,0,0,−23.1,5.3,0,−0.2,23.1,−5.3,−49.6,36,0.2,−14.5
,92,1.301,0,0,−25.0,1.2,0,−0.4,25,−1.2,−50.8,31.4,0.4,−15.9
,93,1.316,0,0,−24.9,−1.8,0,−0.5,24.9,1.8,−48.4,27.6,0.5,−15.9
,94,1.33,0,0,−22.9,−2.8,0,−0.6,22.9,2.8,−43.5,26.5,0.6,−14.5
,95,1.344,0,0,−19.4,−1.6,0,−0.5,19.4,1.6,−36.8,29,0.5,−11.7
,96,1.358,0,0,−15.0,1.4,0,−0.3,15,−1.4,−29.5,33.9,0.3,−8.2
HCR,97,1.373,0,0,−10.9,4.9,0,0,10.9,−4.9,−23.4,39,0,−4.9
,98,1.387,0,0,−8.1,8.2,0,0.3,8.1,−8.2,−19.9,42.8,−0.3,−2.8
,99,1.401,0,0,−6.5,10.4,0,0.5,6.5,−10.4,−19.4,44.2,−0.5,−2.0
,100,1.416,0,0,−5.9,11.6,0,0.6,5.9,−11.6,−21.4,42.9,−0.6,−2.4
,101,1.43,0,0,−5.6,11.8,0,0.7,5.6,−11.8,−24.8,39.7,−0.7,−3.2
,102,1.444,0,0,−5.2,11.4,0,0.7,5.2,−11.4,−28.4,36.1,−0.7,−4.1
,103,1.459,0,0,−4.5,10.9,0,0.6,4.5,−10.9,−30.3,33.7,−0.6,−4.6
,104,1.473,0,0,−3.4,10.4,0,0.6,3.4,−10.4,−28.9,33.1,−0.6,−4.2
,105,1.487,0,0,−1.8,10,0,0.6,1.8,−10.0,−24.4,33.6,−0.6,−3.2
,106,1.501,0,0,−0.4,9.5,0,0.6,0.4,−9.5,−19.0,34,−0.6,−2.1
