TABLE A.5(b) Reaction Forces and Moments of Force—Hip,,,,,,,,
STATE,,,THIGH SEGMENT,,,,,
,FRAME,TIME,KNEE,,HIP,,KNEE,HIP
,,,RX,RY,RX,RY,MOMENT,MOMENT
,,S,N,N,N,N,N.M,N.M
TOR,1,0,−52.0,−31.6,59.7,112.1,−7.0,22.9
,2,0.014,−41.1,−27.1,30.3,117.1,−7.0,17.8
,3,0.029,−30.8,−22.2,9.1,116.7,−6.9,13.8
,4,0.043,−22.0,−17.8,−3.8,111.5,−6.5,10.8
,5,0.057,−15.1,−14.6,−9.4,102.8,−5.8,8.5
,6,0.072,−10.1,−12.7,−10.6,91.7,−4.8,6.7
,7,0.086,−6.5,−12.2,−10.0,80.4,−3.6,5
,8,0.1,−4.1,−13.4,−9.8,71.3,−2.3,3.4
,9,0.114,−2.5,−15.9,−10.4,65,−1.0,2
,10,0.129,−1.4,−19.1,−11.7,60,0.1,0.9
,11,0.143,−0.4,−22.8,−13.3,56.1,1,0
,12,0.157,0.9,−27.1,−15.2,54.5,1.9,−0.8
,13,0.172,2.8,−31.8,−18.1,55.5,2.7,−1.5
,14,0.186,5.7,−36.2,−21.7,57.6,3.5,−2.5
,15,0.2,9.5,−39.6,−25.3,59.9,4.2,−3.6
,16,0.215,14.2,−42.0,−28.4,62.3,4.9,−5.0
,17,0.229,19.7,−43.4,−31.3,65.1,5.8,−6.7
,18,0.243,25.5,−43.7,−33.4,69,6.8,−8.7
,19,0.257,30.7,−42.7,−33.9,74.4,8,−10.5
,20,0.272,35.5,−40.7,−33.1,82.1,9.4,−12.2
,21,0.286,39.9,−38.2,−32.1,91.9,11.1,−14.0
,22,0.3,43.9,−34.9,−30.9,100.1,12.8,−16.0
,23,0.315,46.6,−30.6,−29.4,103.1,14.3,−17.9
,24,0.329,47.3,−26.1,−27.9,101.5,15.1,−19.1
,25,0.343,45.3,−23.3,−26.8,99.4,14.6,−18.7
,26,0.357,40.6,−24.1,−26.5,100.7,12.7,−16.1
,27,0.372,34.1,−29.1,−27.3,106.9,9.5,−11.7
HCR,28,0.386,64.3,50.2,−66.1,29.7,33.8,−54.4
,29,0.4,16.8,148.2,−26.3,−66.4,19.9,−37.6
,30,0.415,−27.2,255.2,12.4,−173.3,7.6,−23.5
,31,0.429,−59.9,354.6,41.3,−276.1,4.5,−20.8
,32,0.443,−77.7,429.9,54.7,−359.4,−7.8,−11.1
,33,0.458,−86.3,480.2,58.3,−421.0,−14.5,−7.8
,34,0.472,−91.5,516.7,60.4,−468.3,−24.8,−0.4
,35,0.486,−94.3,547.2,63.8,−504.4,−31.6,4.7
,36,0.5,−91.7,568.4,64.2,−526.0,−35.0,7.3
,37,0.515,−80.9,573.4,55.7,−529.1,−37.8,9.9
,38,0.529,−63.7,558.2,39,−512.7,−32.5,5
