"TABLE A.4 Relative Joint Angular Kinematics—Ankle, Knee, and Hip",,,,,,,,,,,
STATE,FRAME,TIME,ANKLE,,,KNEE,,,HIP,,
,,,THETA,OMEGA,ALPHA,THETA,OMEGA,ALPHA,THETA,OMEGA,ALPHA
,,S,DEG,R/S,R/S/S,DEG,R/S,R/S/S,DEG,R/S,R/S/S
TOR,1,0,−15.2,−2.29,94.89,46.7,6.74,−21.91,−2.4,2.39,36.03
,2,0.014,−16.4,−0.82,98.72,52.1,6.23,−46.59,−0.2,2.89,31.5
,3,0.029,−16.5,0.54,84.63,56.9,5.41,−65.29,2.3,3.3,24.37
,4,0.043,−15.6,1.6,63.13,61,4.37,−77.66,5.2,3.58,14.23
,5,0.057,−13.9,2.34,41.31,64.1,3.19,−84.77,8.2,3.7,1.3
,6,0.072,−11.7,2.78,20.1,66.2,1.94,−87.62,11.3,3.62,−12.28
,7,0.086,−9.3,2.92,−0.74,67.3,0.68,−86.54,14.2,3.35,−23.42
,8,0.1,−6.9,2.76,−18.70,67.3,−0.53,−81.99,16.8,2.95,−30.30
,9,0.114,−4.8,2.38,−30.23,66.4,−1.66,−75.17,19,2.48,−33.55
,10,0.129,−3.0,1.9,−34.13,64.6,−2.68,−67.64,20.8,1.99,−35.01
,11,0.143,−1.7,1.41,−32.12,62,−3.60,−60.31,22.2,1.48,−35.53
,12,0.157,−0.7,0.98,−26.84,58.7,−4.41,−53.09,23.3,0.98,−34.42
,13,0.172,−0.1,0.64,−20.23,54.8,−5.11,−45.78,23.8,0.5,−30.99
,14,0.186,0.3,0.4,−13.59,50.3,−5.72,−38.95,24.1,0.09,−26.06
,15,0.2,0.6,0.25,−8.03,45.4,−6.23,−32.91,24,−0.25,−21.52
,16,0.215,0.7,0.17,−3.87,40.1,−6.66,−26.57,23.7,−0.53,−18.38
,17,0.229,0.9,0.14,−0.56,34.5,−6.99,−18.05,23.1,−0.77,−16.10
,18,0.243,1,0.15,2.33,28.7,−7.17,−5.87,22.4,−0.99,−13.65
,19,0.257,1.1,0.21,4.6,22.8,−7.16,10.65,21.5,−1.16,−10.37
,20,0.272,1.3,0.29,5.47,16.9,−6.87,31.09,20.5,−1.28,−6.16
,21,0.286,1.6,0.36,3.83,11.5,−6.27,53.59,19.4,−1.34,−1.66
,22,0.3,1.9,0.4,−0.84,6.7,−5.34,74.76,18.3,−1.33,1.98
,23,0.315,2.2,0.34,−8.36,2.7,−4.13,90.62,17.2,−1.28,4.14
,24,0.329,2.5,0.16,−19.22,−0.1,−2.75,97.96,16.2,−1.21,5.38
,25,0.343,2.5,−0.21,−33.28,−1.8,−1.33,95.28,15.2,−1.13,6.53
,26,0.357,2.1,−0.79,−46.39,−2.3,−0.02,82.64,14.3,−1.03,7.45
,27,0.372,1.2,−1.54,−50.65,−1.8,1.04,62.4,13.6,−0.92,7.62
HCR,28,0.386,−0.4,−2.24,−38.30,−0.6,1.76,40.55,12.8,−0.81,7.93
,29,0.4,−2.5,−2.63,−7.99,1.1,2.2,24.37,12.2,−0.69,9.91
,30,0.415,−4.7,−2.47,30.12,3,2.46,16.62,11.7,−0.52,13.66
,31,0.429,−6.5,−1.77,59.6,5.1,2.67,12.93,11.4,−0.30,16.99
,32,0.443,−7.6,−0.77,70.7,7.4,2.83,5.97,11.2,−0.04,16.09
,33,0.458,−7.8,0.25,64.54,9.8,2.84,−8.17,11.3,0.16,7.69
,34,0.472,−7.2,1.08,46.87,12.1,2.6,−27.06,11.5,0.18,−7.32
,35,0.486,−6.0,1.59,24.33,14,2.07,−44.04,11.6,−0.05,−22.88
,36,0.5,−4.6,1.77,4.14,15.4,1.34,−53.13,11.4,−0.47,−32.00
,37,0.515,−3.1,1.71,−8.73,16.2,0.55,−52.57,10.8,−0.96,−31.67
,38,0.529,−1.8,1.52,−13.85,16.3,−0.17,−44.30,9.8,−1.38,−23.59
,39,0.543,−0.6,1.31,−13.32,15.9,−0.72,−31.51,8.6,−1.64,−11.54
,40,0.558,0.4,1.14,−9.71,15.2,−1.07,−17.12,7.2,−1.71,0.9
,41,0.572,1.2,1.04,−6.42,14.2,−1.21,−3.98,5.8,−1.61,10.98
,42,0.586,2.1,0.96,−6.79,13.2,−1.18,5.07,4.5,−1.40,16.74
,43,0.601,2.8,0.84,−10.34,12.3,−1.06,8.5,3.5,−1.13,17.58
,44,0.615,3.4,0.66,−12.36,11.4,−0.94,7.49,2.7,−0.89,15.03
,45,0.629,3.9,0.49,−9.52,10.7,−0.85,4.99,2,−0.70,11.6
,46,0.643,4.2,0.39,−3.26,10.1,−0.80,3.03,1.5,−0.56,8.39
,47,0.658,4.6,0.4,3.33,9.4,−0.76,1.9,1.1,−0.46,4.74
,48,0.672,4.9,0.49,7.14,8.8,−0.74,1.14,0.8,−0.43,−0.13
,49,0.686,5.3,0.6,4.92,8.2,−0.73,0.45,0.4,−0.47,−5.26
