"TABLE A.6 Segment Potential, Kinetic, and Total Energies—Foot, Leg, Thigh, and 1/2 HAT",,,,,,,,,,,,,,,,,
FRAME,TIME,FOOT SEGMENT,,,,LEG SEGMENT,,,,THIGH SEGMENT,,,,H.A.T. SEGMENT,,,
,,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL
,S,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
1,0,1.2,1.8,0,3,9.5,8.3,0.1,17.9,36.3,12.3,0.3,48.8,203.6,18.2,0.4,222.3
2,0.014,1.3,2.3,0,3.6,9.6,9.2,0.1,18.9,36.2,12.2,0.3,48.8,203.8,18.3,0.3,222.4
3,0.029,1.4,2.9,0,4.3,9.7,9.9,0,19.6,36.3,11.7,0.4,48.4,204.1,17.9,0.1,222.1
4,0.043,1.4,3.5,0,4.9,9.8,10.2,0,20,36.4,11.1,0.4,47.9,204.6,17.2,0.1,221.8
5,0.057,1.4,4,0,5.5,9.9,10.4,0,20.3,36.7,10.5,0.4,47.6,205.2,16.3,0,221.6
6,0.072,1.4,4.6,0,6,10,10.4,0.1,20.5,36.9,10,0.4,47.4,206,15.6,0,221.7
7,0.086,1.4,5.1,0,6.5,10,10.3,0.2,20.5,37.3,9.6,0.4,47.3,207,15.1,0.1,222.1
8,0.1,1.3,5.5,0.1,6.9,10.1,10.2,0.3,20.5,37.6,9.3,0.3,47.2,207.9,14.8,0.1,222.8
9,0.114,1.3,6,0.1,7.3,10.1,10.1,0.3,20.5,38,9,0.2,47.2,208.9,14.6,0.1,223.6
10,0.129,1.2,6.3,0.1,7.6,10.1,9.9,0.4,20.4,38.3,8.6,0.2,47.1,209.8,14.4,0.2,224.3
11,0.143,1.1,6.6,0.1,7.8,10.1,9.8,0.5,20.3,38.7,8.2,0.1,47,210.6,14.1,0.2,224.9
12,0.157,1,6.9,0.1,8,10,9.6,0.5,20.2,38.9,7.7,0.1,46.7,211.2,13.9,0.3,225.4
13,0.172,0.9,7,0.1,8,9.9,9.4,0.6,20,39.1,7.3,0,46.5,211.6,13.7,0.4,225.7
14,0.186,0.8,7.1,0.1,8,9.9,9.2,0.6,19.7,39.3,6.8,0,46.1,211.9,13.7,0.4,225.9
15,0.2,0.8,7,0.1,7.9,9.8,9,0.6,19.4,39.4,6.4,0,45.8,212,13.9,0.4,226.2
16,0.215,0.7,6.9,0.1,7.7,9.7,8.6,0.6,18.9,39.4,6.1,0,45.5,211.9,14.4,0.3,226.6
17,0.229,0.7,6.6,0.1,7.4,9.6,8.2,0.6,18.3,39.3,5.9,0,45.2,211.6,15.4,0.2,227.2
18,0.243,0.7,6.2,0.1,7,9.5,7.6,0.6,17.7,39.2,5.7,0,44.9,211.1,16.7,0.2,227.9
19,0.257,0.7,5.7,0.1,6.5,9.4,7,0.5,16.9,39,5.7,0,44.7,210.5,18.1,0.1,228.7
20,0.272,0.8,5,0.1,5.8,9.3,6.4,0.5,16.1,38.7,5.8,0,44.6,209.7,19.6,0.1,229.4
21,0.286,0.8,4.2,0,5,9.2,5.7,0.4,15.3,38.5,5.9,0,44.4,208.9,20.8,0.1,229.7
22,0.3,0.8,3.3,0,4.2,9.1,5.1,0.3,14.4,38.2,6.1,0,44.3,208.1,21.5,0,229.7
23,0.315,0.9,2.5,0,3.4,9,4.4,0.1,13.6,37.9,6.4,0,44.3,207.4,21.9,0.1,229.3
24,0.329,0.9,1.7,0,2.6,9,3.8,0.1,12.8,37.7,6.7,0,44.4,206.7,22,0.1,228.8
25,0.343,0.9,1.1,0,2,8.9,3.3,0,12.2,37.5,7.1,0,44.6,206.1,22.1,0.1,228.4
26,0.357,0.9,0.7,0,1.5,8.8,2.8,0,11.6,37.4,7.4,0,44.8,205.7,22.5,0.1,228.3
27,0.372,0.8,0.4,0,1.3,8.8,2.4,0,11.2,37.3,7.6,0,44.9,205.3,23.1,0.1,228.6
28,0.386,0.8,0.3,0,1.1,8.7,2.1,0.1,10.8,37.2,7.7,0,44.9,205.1,23.9,0.1,229.2
29,0.4,0.7,0.2,0,1,8.6,1.8,0.1,10.5,37.2,7.5,0,44.8,205.1,24.7,0,229.8
30,0.415,0.7,0.2,0,0.9,8.6,1.6,0.1,10.3,37.3,7.3,0,44.5,205.3,25.2,0,230.5
31,0.429,0.6,0.1,0,0.7,8.6,1.4,0.1,10.2,37.4,6.9,0,44.3,205.7,25.5,0,231.1
32,0.443,0.6,0.1,0,0.7,8.6,1.3,0.1,10,37.5,6.5,0,44.1,206.3,25.4,0,231.7
33,0.458,0.5,0,0,0.6,8.6,1.2,0.1,9.9,37.7,6,0,43.8,207,25,0.1,232.1
34,0.472,0.5,0,0,0.5,8.7,1,0.1,9.8,37.9,5.4,0,43.3,207.8,24.2,0.2,232.2
35,0.486,0.5,0,0,0.5,8.7,0.8,0.1,9.6,38.1,4.8,0,42.9,208.6,23.2,0.2,232
36,0.5,0.5,0,0,0.5,8.7,0.6,0.1,9.4,38.2,4.2,0,42.5,209.3,22.2,0.2,231.7
37,0.515,0.5,0,0,0.5,8.7,0.4,0.1,9.2,38.4,3.8,0.1,42.2,209.9,21.3,0.1,231.3
38,0.529,0.5,0,0,0.5,8.7,0.3,0,9.1,38.4,3.3,0.1,41.9,210.5,20.3,0.1,230.9
39,0.543,0.5,0,0,0.5,8.7,0.2,0,9,38.5,3,0.1,41.6,211,19.4,0.1,230.5
