TABLE,A.6,Segment,"Potential,","Kinetic,",and,Total,"Energies—Foot,","Leg,","Thigh,",and,2-Jan,HAT,,,,,
,,FOOT,SEGMENT,,,LEG,SEGMENT,,,THIGH,SEGMENT,,,H.A.T.,SEGMENT,,
FRAME,TIME,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL,PE,TKE,RKE,TOTAL
S,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,
1,0,1.2,1.8,0,3,9.5,8.3,0.1,17.9,36.3,12.3,0.3,48.8,203.6,18.2,0.4,222.3
2,0.014,1.3,2.3,0,3.6,9.6,9.2,0.1,18.9,36.2,12.2,0.3,48.8,203.8,18.3,0.3,222.4
3,0.029,1.4,2.9,0,4.3,9.7,9.9,0,19.6,36.3,11.7,0.4,48.4,204.1,17.9,0.1,222.1
4,0.043,1.4,3.5,0,4.9,9.8,10.2,0,20,36.4,11.1,0.4,47.9,204.6,17.2,0.1,221.8
5,0.057,1.4,4,0,5.5,9.9,10.4,0,20.3,36.7,10.5,0.4,47.6,205.2,16.3,0,221.6
6,0.072,1.4,4.6,0,6,10,10.4,0.1,20.5,36.9,10,0.4,47.4,206,15.6,0,221.7
7,0.086,1.4,5.1,0,6.5,10,10.3,0.2,20.5,37.3,9.6,0.4,47.3,207,15.1,0.1,222.1
8,0.1,1.3,5.5,0.1,6.9,10.1,10.2,0.3,20.5,37.6,9.3,0.3,47.2,207.9,14.8,0.1,222.8
9,0.114,1.3,6,0.1,7.3,10.1,10.1,0.3,20.5,38,9,0.2,47.2,208.9,14.6,0.1,223.6
10,0.129,1.2,6.3,0.1,7.6,10.1,9.9,0.4,20.4,38.3,8.6,0.2,47.1,209.8,14.4,0.2,224.3
11,0.143,1.1,6.6,0.1,7.8,10.1,9.8,0.5,20.3,38.7,8.2,0.1,47,210.6,14.1,0.2,224.9
12,0.157,1,6.9,0.1,8,10,9.6,0.5,20.2,38.9,7.7,0.1,46.7,211.2,13.9,0.3,225.4
13,0.172,0.9,7,0.1,8,9.9,9.4,0.6,20,39.1,7.3,0,46.5,211.6,13.7,0.4,225.7
14,0.186,0.8,7.1,0.1,8,9.9,9.2,0.6,19.7,39.3,6.8,0,46.1,211.9,13.7,0.4,225.9
15,0.2,0.8,7,0.1,7.9,9.8,9,0.6,19.4,39.4,6.4,0,45.8,212,13.9,0.4,226.2
16,0.215,0.7,6.9,0.1,7.7,9.7,8.6,0.6,18.9,39.4,6.1,0,45.5,211.9,14.4,0.3,226.6
17,0.229,0.7,6.6,0.1,7.4,9.6,8.2,0.6,18.3,39.3,5.9,0,45.2,211.6,15.4,0.2,227.2
18,0.243,0.7,6.2,0.1,7,9.5,7.6,0.6,17.7,39.2,5.7,0,44.9,211.1,16.7,0.2,227.9
19,0.257,0.7,5.7,0.1,6.5,9.4,7,0.5,16.9,39,5.7,0,44.7,210.5,18.1,0.1,228.7
20,0.272,0.8,5,0.1,5.8,9.3,6.4,0.5,16.1,38.7,5.8,0,44.6,209.7,19.6,0.1,229.4
21,0.286,0.8,4.2,0,5,9.2,5.7,0.4,15.3,38.5,5.9,0,44.4,208.9,20.8,0.1,229.7
