Time Step,     ,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,6_x,6_y,6_z,8_x,8_y,8_z,10_x,10_y,10_z,11_x,11_y,11_z,9_x,9_y,9_z,7_x,7_y,7_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,17_x,17_y,17_z,19_x,19_y,19_z,21_x,21_y,21_z,22_x,22_y,22_z,20_x,20_y,20_z,18_x,18_y,18_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,33_x,33_y,33_z,34_x,34_y,34_z,35_x,35_y,35_z,36_x,36_y,36_z,37_x,37_y,37_z,38_x,38_y,38_z,39_x,39_y,39_z,40_x,40_y,40_z,44_x,44_y,44_z,45_x,45_y,45_z
0,     ,-0.0057654122,0.8993698477,0.2848167042,-0.0551125801,0.8841123094,0.2111141633,-0.149991608,0.455619068,0.179625878,0.0213787937,0.0612500613,0.1819219654,0.0832622102,0.001,0.1386857846,-0.1291882425,0.001,0.1105112368,-0.1886672894,0.0009293194,0.102622131,-0.201812116,-0.0007132696,0.2017408247,-0.1423330692,-0.000642589,0.2096299305,0.0701173835,-0.000642589,0.2378044783,0.0435817068,0.9146273981,0.3585192754,-0.0099318311,0.483861328,0.4304699116,0.0233395175,0.0607938183,0.4998017196,0.0752053737,-0.0008410677,0.4465093247,-0.1385078446,-0.0009628621,0.462498243,-0.1983406143,-0.001,0.4669746576,-0.1908811733,0.0001824059,0.566689043,-0.1310484035,0.0002195437,0.5622126284,0.0826648147,0.0003413381,0.5462237101,0.0024857498,0.9957191249,0.2593464255,0.0073370521,1.0532202079,0.2429120006,0.0137553913,1.1101097574,0.2249569433,0.0147839397,1.1672384218,0.2066468973,0.005958761,1.362014306,0.126120683,0.0490764598,1.3435469437,-0.0045441236,0.2219679722,1.1238437013,-0.0200040781,0.1880244647,1.2013742975,-0.2658431412,0.1785555173,1.2352424494,-0.4535777606,-0.0067279912,1.372414628,0.1626019059,-0.0584608552,1.418701895,0.2861909008,-0.1001726324,1.511881623,0.5469161698,-0.3570864639,1.4875250778,0.5152611243,-0.5373936757,1.4246834528,0.5106524894,-0.0039961681,1.4148278123,0.1295313913,-0.0050281452,1.5146342294,0.1233983555,0.0760837518,1.8493963296,0.241106454,-0.0542859315,1.8738713888,0.0914244005
0.0233333333,     ,-0.0080520742,0.898205121,0.2845774828,-0.0533269736,0.882223357,0.2084541178,-0.1534115173,0.4547665581,0.1790641674,0.0201240801,0.0613435381,0.180993876,0.0816149238,0.0008571489,0.1375281734,-0.1311154076,0.0004772548,0.1115539209,-0.1906732382,0.0004887914,0.1042831111,-0.2027908568,-0.0004941907,0.2035413454,-0.1432330262,-0.0005057273,0.2108121551,0.0694973052,-0.0001258332,0.2367864077,0.0372227748,0.9141868976,0.3607008752,-0.0107424443,0.4826212064,0.4317669847,0.0261787279,0.0601029713,0.5025848363,0.0792897224,-0.001,0.4499098448,-0.1347616029,-0.0009099774,0.4604465453,-0.1946890369,-0.0008868736,0.46339648,-0.1897724788,-0.0008868737,0.5632755441,-0.1298450447,-0.0009099774,0.5603256095,0.0842062805,-0.001,0.5497889089,0.001734848,0.9942715502,0.2585879208,0.0075411139,1.0516091708,0.2418940732,0.0145849947,1.1083408301,0.2236758797,0.01620735,1.165684924,0.2060968337,0.0085166155,1.3621362929,0.129626498,0.0521105708,1.3456807966,-0.0005512768,0.2202438657,1.1225499488,-0.0190936579,0.1944063268,1.1969083912,-0.2668904368,0.194341412,1.2363703915,-0.4537693985,-0.0039237147,1.371880785,0.1663726958,-0.0547687085,1.4160320161,0.2911197194,-0.0946967117,1.5042228083,0.5538517858,-0.3519086251,1.4824252289,0.522756816,-0.5326956681,1.4210229493,0.5175794457,-0.0010156609,1.4149427342,0.1341669237,-0.0041003058,1.5145870377,0.1263248733,0.0660939461,1.8568859476,0.2283259677,-0.0665356744,1.8700897528,0.0792117722
0.0466666667,     ,-0.0133173302,0.8956135352,0.2835385958,-0.0487123091,0.8774970743,0.2027983375,-0.1612200968,0.452895337,0.1771982914,0.0167643743,0.0614607423,0.17650105,0.0772205309,0.000478783,0.1322828614,-0.1360809829,-0.0003178085,0.1115264248,-0.1957980168,-0.000011858,0.1057141743,-0.2054840887,0.0002078012,0.2052437265,-0.1457670548,-0.0000981493,0.211055977,0.067534459,0.0006984422,0.2318124136,0.0220775951,0.9137300094,0.3642788747,-0.0114715084,0.4813078712,0.4383433876,0.034942108,0.061067377,0.5167251662,0.0908591999,0.0009999999,0.4657919295,-0.1234486539,0.001000001,0.4647224505,-0.1834479068,0.0010000013,0.4644230311,-0.1839468394,-0.0009999995,0.5644017841,-0.1239475865,-0.0009999998,0.5647012036,0.0903602673,-0.0010000008,0.5657706825,0.0000352841,0.990902535,0.2563041655,0.0080340532,1.047769076,0.2389197985,0.0164720088,1.1040776086,0.2199949456,0.0195181588,1.161821296,0.2039828396,0.0148826518,1.3616869236,0.1366609042,0.0597151343,1.3494458431,0.0078490627,0.2164369493,1.1187932904,-0.0174031183,0.2077159184,1.1845327194,-0.2688037371,0.2269192352,1.2372503432,-0.4513772422,0.0029888427,1.3699664743,0.1739434248,-0.0458609635,1.4093483183,0.3010929374,-0.0818172823,1.4863102972,0.56789623,-0.3396421531,1.470709936,0.538181507,-0.5215856731,1.4129439215,0.5318063126,0.0064161332,1.4143994149,0.1437115298,-0.0014834411,1.5133770893,0.1318364848,0.0412005633,1.8690471506,0.1964652964,-0.095150355,1.8556542518,0.0507633494
0.07,     ,-0.0188497592,0.8927549632,0.2831847197,-0.0425438188,0.8715007705,0.1990012841,-0.1690888892,0.4507450958,0.1755277392,0.0133408352,0.0614250867,0.1685044768,0.0724654222,0.0000745305,0.1230139624,-0.141340787,-0.000652411,0.1083382531,-0.2011949562,0.0000745345,0.104221217,-0.2080457057,0.0010000042,0.2039819845,-0.1481915365,0.0002730586,0.2080990207,0.0656146727,0.0010000001,0.2227747299,0.0048442445,0.9140091699,0.3673681675,-0.0108648049,0.4828458604,0.4536898119,0.0470096266,0.0672520421,0.5476702798,0.1057304023,0.0079043447,0.4991035537,-0.1082437754,0.006985417,0.4871366476,-0.1681496222,0.0067302468,0.4837863628,-0.1737186255,0.0037974651,0.5835880912,-0.1138127787,0.0040526353,0.586938376,0.100161399,0.004971563,0.5989052821,-0.0014425077,0.9869582183,0.254501374,0.0090430579,1.0431230003,0.2361827992,0.0189839949,1.0988644674,0.2163316881,0.0237275179,1.1569055698,0.2018842169,0.0233862693,1.3599164325,0.1445564474,0.0697617586,1.3516929921,0.0176228008,0.212948802,1.1132162285,-0.0144131759,0.2197218376,1.1679158858,-0.2685038555,0.2565787485,1.236842859,-0.4427784678,0.0120974267,1.3666261835,0.1823392646,-0.0344902945,1.4009062661,0.311828463,-0.0660015785,1.4656390158,0.5824143275,-0.3243877134,1.4577494316,0.5545870073,-0.5077415331,1.4047639692,0.5471763693,0.0163166963,1.4124060082,0.1542963437,0.0028550867,1.5101419085,0.1379721633,0.0107916584,1.873368953,0.1604026105,-0.1271314482,1.8298513833,0.0222597939
0.1866666667,     ,-0.0159758457,0.8892100871,0.3092612863,-0.0178442339,0.8597072182,0.2242548756,-0.1617511788,0.4450112603,0.1939554752,0.0254633411,0.060372336,0.1503249648,0.0800790325,-0.0009999762,0.0995355958,-0.1342064174,0.0001303328,0.1026126633,-0.1941939296,0.0010000268,0.103474064,-0.1927581111,0.0010000158,0.2034637556,-0.1327705989,0.0001303218,0.2026023549,0.0815148511,-0.0009999871,0.1995252874,-0.0141075143,0.9187129709,0.394267693,0.0174528419,0.5066896556,0.5453991971,0.1028570539,0.1127398281,0.695097741,0.1569923141,0.049999998,0.6454782604,-0.0572131482,0.0500000043,0.6521879466,-0.1171837348,0.0500000061,0.6540664413,-0.1140547105,0.0533907112,0.7539599462,-0.0540841239,0.0533907094,0.7520814515,0.1601213384,0.0533907031,0.7453717653,0.0103498309,0.9801688987,0.2771139171,0.0271574978,1.0329813483,0.2541281063,0.0396892018,1.087185243,0.2316582554,0.0476493208,1.1448052586,0.2169419275,0.0643011979,1.3502013832,0.1718293244,0.1083725375,1.3416316937,0.048424769,0.2243879877,1.0882442952,0.0213094305,0.2004796162,1.1483531663,-0.2305145425,0.3025522899,1.2597106986,-0.3473976862,0.0565949129,1.3554739949,0.2107242179,0.0234300588,1.385674952,0.3453078876,0.0185411024,1.4356413619,0.6207701463,-0.2405900091,1.4553177224,0.6127759056,-0.4285174541,1.4214115134,0.6166027059,0.0634953811,1.4023692198,0.1851660212,0.0354745614,1.496190218,0.1648570585,-0.054314119,1.8477689446,0.1360405378,-0.1891838194,1.7475480715,0.0275696177
0.3033333333,     ,0.0247953969,0.8979148263,0.3688072549,-0.0017025008,0.8769349522,0.2853943884,-0.1190210999,0.4556690445,0.2366975582,0.0398609208,0.0614252042,0.1716721946,0.0950873309,0.0004478503,0.1210678431,-0.119187571,-0.0009999312,0.124696944,-0.1791790052,-0.0009999423,0.1257107598,-0.177489338,-0.0004477187,0.225694959,-0.1174979038,-0.0004477076,0.2246811432,0.096776998,0.001000074,0.2210520422,0.0512932399,0.918894718,0.4522201344,0.087184957,0.4982024246,0.576033619,0.1787072756,0.0899985549,0.675498517,0.2067551046,0.0258533125,0.6089574566,0.0134491623,0.0314901256,0.7013156668,-0.0406703137,0.0330599734,0.7271733135,0.0024950763,0.0363725254,0.8173164003,0.0566145523,0.0348026775,0.7914587536,0.2499204947,0.0291658645,0.6991005435,0.0474068752,0.9904415857,0.3383520445,0.0607437647,1.0431266982,0.3129275228,0.0698833581,1.0988763789,0.2927176011,0.0744956422,1.1553368663,0.2729453934,0.0958635049,1.3549696759,0.208213981,0.1157734678,1.3342504878,0.0801112536,0.2301666442,1.0793841051,0.0612081281,0.1329934145,1.2213602014,-0.1337281473,0.2504373865,1.2291297366,-0.2841527057,0.0958497692,1.363626495,0.2472659885,0.0903684389,1.4058496166,0.3825162693,0.1404487782,1.4753371284,0.6490935477,-0.1136719171,1.5152023908,0.6869542541,-0.2992933016,1.4969510918,0.7280953734,0.1009425963,1.4078602797,0.2169767924,0.0782533777,1.5050295043,0.2103933928,0.0498179604,1.865426281,0.252885632,-0.1117070723,1.8094254612,0.1490898132
0.42,     ,0.0802550948,0.9087966222,0.44104985,0.0169068296,0.9020046516,0.3774820403,-0.0852215728,0.4840370028,0.2854340424,0.0160502898,0.0794102656,0.1809294329,0.0804865533,0.0250743189,0.1337641141,-0.1322343923,0.001000277,0.1238021961,-0.1921693662,0.0010002657,0.1210095431,-0.1968237777,0.0007917767,0.2209009491,-0.1368888039,0.000791788,0.2236936021,0.0758321417,0.0248658299,0.2336555201,0.1436033192,0.9155886102,0.5046176985,0.1432184057,0.4862613226,0.6009397206,0.2109393604,0.0620795922,0.6205287975,0.2067476029,0.0010000174,0.545824579,0.0726902138,0.0009999173,0.7130298912,0.0351584899,0.0009998892,0.7598419591,0.1131786031,0.0009999,0.8223948322,0.150710327,0.000999928,0.7755827643,0.2847677161,0.0010000282,0.6083774521,0.0961278545,1.0040453548,0.4150549575,0.1020966601,1.0602095992,0.3948077104,0.1095674078,1.1183957008,0.3822154305,0.1101144949,1.1757387893,0.3645668925,0.1265192184,1.3744224641,0.2956054366,0.0944698248,1.3561616075,0.169430706,0.1206798713,1.0851580568,0.1040846352,0.0938062345,1.2988850048,-0.0415127526,0.202982528,1.2803284521,-0.1971314896,0.1419707175,1.3816762371,0.3317804826,0.1918263625,1.4193373038,0.4590168716,0.3449575129,1.4736054723,0.6870647102,0.1292703771,1.537084131,0.8176385181,-0.0281989364,1.5359231657,0.9257267573,0.1399903261,1.4262185303,0.3015801156,0.1324957069,1.5257931996,0.3069388384,0.2595857715,1.8661476304,0.2844226904,0.0642299213,1.8776006339,0.2431320072
0.5133333333,     ,0.1216332809,0.9134405505,0.4921281349,0.0409190676,0.9155977268,0.4523718477,-0.0753695437,0.5088848771,0.3312866844,-0.0226562548,0.1070286324,0.1876452288,0.0556028261,0.0666381425,0.1479826642,-0.1458408256,-0.000999496,0.1201509369,-0.2052762408,-0.0009994966,0.1119392729,-0.2189623474,-0.0009995627,0.2109982982,-0.1595269323,-0.0009995621,0.2192099622,0.0419167194,0.0666380764,0.2470416894,0.2023474693,0.911283389,0.5318844733,0.1687386973,0.4877110354,0.6461513174,0.2077084902,0.0600955875,0.6232082579,0.1878567269,-0.0009679393,0.5510545418,0.0920294371,-0.0009680601,0.7427473443,0.065200902,-0.0009680939,0.7964151158,0.1546471832,-0.0010001622,0.8411293388,0.1814757184,-0.0010001283,0.7874615672,0.2773030082,-0.0010000075,0.5957687647,0.1347372153,1.0102518285,0.470777178,0.1421228299,1.0689467739,0.4607593899,0.1562942679,1.1268673335,0.4540976237,0.1609324892,1.1863606912,0.4478504416,0.1858464276,1.3927230604,0.4118800608,0.0992791435,1.408178659,0.3143955496,-0.0725692063,1.1961847252,0.2517320302,0.0029594153,1.2606373603,0.0114378664,0.1728193889,1.1980150692,-0.0494475836,0.2166825142,1.3895295639,0.4371572708,0.3236533094,1.390511898,0.5302305113,0.5683406129,1.3724801734,0.6651489326,0.449006818,1.4264113794,0.8897616447,0.3575349441,1.4170100944,1.0571698646,0.2108673286,1.4398800297,0.4189634749,0.2088475248,1.5383631083,0.4361972679,0.2810906571,1.8263341488,0.2255943009,0.0911547549,1.8476201236,0.2845117036
0.6066666667,     ,0.1578620744,0.9147128282,0.5160136806,0.0695749144,0.9199738453,0.4993493747,-0.0759432037,0.5231291363,0.377125178,-0.0514277327,0.1367999449,0.1899120707,0.0368345426,0.116220164,0.1565168943,-0.1396442693,0.000738092,0.1184627229,-0.1984335363,0.0010004195,0.1064730076,-0.2184210131,-0.0007373112,0.2044397421,-0.1596317461,-0.0009996388,0.2164294574,0.0168470659,0.1144824333,0.2544836288,0.246149224,0.9094518198,0.5326780438,0.1975389741,0.4897023242,0.6553459065,0.2136165278,0.0609306154,0.6271265152,0.1904381249,-0.0010000041,0.5567250553,0.1056648918,-0.0004062533,0.753555303,0.0819331904,-0.0004062727,0.8086625289,0.1737694861,0.0009998946,0.8482114543,0.1975011874,0.0009999139,0.7931042284,0.2822744205,0.0004061632,0.5962739807,0.1663008614,1.0134315642,0.5024712275,0.1773826541,1.0723966403,0.5019111673,0.1925019587,1.1303870901,0.4989932301,0.2051950848,1.1889827157,0.501325012,0.2538383289,1.394166462,0.495540113,0.1372184838,1.4616102847,0.4589621955,-0.1273452669,1.4794393582,0.5488963156,-0.3258377035,1.6197680078,0.4566541197,-0.3786934437,1.7716370531,0.3535858713,0.2903048203,1.381931849,0.5065177835,0.4208966468,1.3499922293,0.5517991819,0.689184843,1.2753720289,0.5810099593,0.6649925129,1.2889475182,0.8395257949,0.635369018,1.2515264654,1.0244666323,0.2879945505,1.4354459262,0.5009584491,0.3006596371,1.5311333884,0.5271023808,0.3676674452,1.7724163593,0.2629197138,0.1839645043,1.8141118115,0.3301113708
0.7,     ,0.1892451503,0.9142949256,0.4906824836,0.0995164062,0.9097813968,0.4960098222,-0.0604485464,0.5040496723,0.4377605162,-0.0615737592,0.1548038965,0.1869097199,0.0252678425,0.1513383042,0.1447727963,-0.1264837853,0.0009997945,0.1274876605,-0.1862204492,0.0009997618,0.1218724146,-0.1955773195,-0.0010001434,0.2214136088,-0.1358406557,-0.0010001107,0.2270288547,0.0159109722,0.149338399,0.2443139906,0.2789738979,0.9188084543,0.4853552038,0.2310489912,0.4898400829,0.5707328335,0.2096753839,0.0618131197,0.6058908714,0.1917826425,0.0010000021,0.5330168698,0.0912068409,-0.0000233103,0.7222586754,0.0630522862,-0.0009999963,0.7752338312,0.1513559125,-0.0009999958,0.8221643072,0.1795104672,-0.0000233098,0.7691891513,0.2800862689,0.0010000026,0.5799473458,0.184247939,1.0141689786,0.4911312854,0.1889590205,1.073672591,0.4972243815,0.1886681216,1.1320090137,0.5112521099,0.1949763808,1.190958167,0.5204826676,0.2242664539,1.3992801618,0.5361043864,0.1071926351,1.5068672561,0.5847070476,0.0563446926,1.4926228812,0.8596826547,0.0084615949,1.4247593124,1.1060598959,-0.1512005966,1.5083846929,1.169272081,0.2617513054,1.3894279208,0.5459947484,0.3949344182,1.3654899471,0.5885858435,0.6692613271,1.3144065779,0.6117210216,0.6448471681,1.2993938944,0.8701365168,0.619692726,1.2408893731,1.0502072669,0.254445191,1.4427816307,0.5459464405,0.299493654,1.5320412021,0.547780805,0.6322727082,1.6781563894,0.5275705811,0.5229921515,1.7708697333,0.3880643239
